,gene_id,gene_name,cnv_type,gene_strand,gene_description,contig,start,end,frq_Bana_col_2022,frq_Sour_col_2022,frq_Sour_gam_2022,frq_Nass_col_2022,frq_Nass_ara_2022,frq_Side_col_2022,frq_Side_gam_2022,frq_Degu_gam_2022,frq_Po-D_ara_2022,frq_Po-D_gam_2022,frq_Po-D_col_2022,frq_Gama_ara_2022,frq_Gama_col_2022,frq_Gama_gam_2022,frq_Ouro_col_2022,frq_Ouro_ara_2022,frq_Naga_gam_2022,frq_Naga_col_2022,frq_Naga_ara_2022,max_af,windows,label
0,AGAP000088,CYP4H19,amp,+,cytochrome P450 [Source:VB Community Annotation],X,1456937,1459201,0.0,0.0,0.0,0.03571428571428571,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.125,9,AGAP000088 (CYP4H19) amp
1,AGAP013490,CYP4H24,amp,+,cytochrome P450 [Source:VB Community Annotation],X,1459302,1460959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818,6,AGAP013490 (CYP4H24) amp
2,AGAP000192,CYP4C26,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3173838,3179220,0.1643835616438356,0.15384615384615385,0.0,0.07142857142857142,0.09090909090909091,0.0,0.045454545454545456,0.0,0.1,0.0,0.0,0.0,0.05405405405405406,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.1643835616438356,19,AGAP000192 (CYP4C26) amp
3,AGAP000193,CYP4C37,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3181145,3184530,0.0136986301369863,0.11538461538461539,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.18181818181818182,13,AGAP000193 (CYP4C37) amp
4,AGAP000194,CYP4C25,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3190383,3200861,0.2191780821917808,0.23076923076923078,0.3333333333333333,0.07142857142857142,0.18181818181818182,0.0,0.0,0.0,0.4,0.1111111111111111,0.05263157894736842,0.0,0.05405405405405406,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,36,AGAP000194 (CYP4C25) amp
5,AGAP000284,CYP315A1,amp,-,cytochrome P450 [Source:VB Community Annotation],X,5112021,5114815,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.02702702702702703,0.0,0.03636363636363636,0.125,0.0,0.02127659574468085,0.0,0.18181818181818182,10,AGAP000284 (CYP315A1) amp
6,AGAP000818,CYP9K1,amp,-,cytochrome P450 [Source:VB Community Annotation],X,15240572,15242864,0.7123287671232876,0.4230769230769231,1.0,0.25,0.0,0.5714285714285714,0.9545454545454546,0.8,0.0,1.0,0.15789473684210525,0.0,0.08108108108108109,0.875,0.2,0.0,0.8461538461538461,0.24468085106382978,0.2222222222222222,1.0,9,AGAP000818 (CYP9K1) amp
7,AGAP000877,CYP4G17,amp,-,cytochrome P450 [Source:VB Community Annotation],X,16618800,16621269,0.2054794520547945,0.2692307692307692,0.0,0.03571428571428571,0.09090909090909091,0.0,0.13636363636363635,0.0,0.2,0.05555555555555555,0.15789473684210525,0.125,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.1111111111111111,0.2692307692307692,10,AGAP000877 (CYP4G17) amp
8,AGAP001076,CYP4G16,del,-,cytochrome P450 [Source:VB Community Annotation],X,22937392,22947129,0.0410958904109589,0.07692307692307693,0.0,0.07142857142857142,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.0,0.1,0.0,0.05263157894736842,0.375,0.1891891891891892,0.125,0.09090909090909091,0.0,0.0,0.0851063829787234,0.0,0.375,34,AGAP001076 (CYP4G16) del
9,AGAP001443,CYP325J1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,5058685,5060107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,6,AGAP001443 (CYP325J1) amp
10,AGAP001443,CYP325J1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,5058685,5060107,0.0410958904109589,0.07692307692307693,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,6,AGAP001443 (CYP325J1) del
11,AGAP001864,CYP4H15,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,11614187,11615787,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.010638297872340425,0.0,0.125,7,AGAP001864 (CYP4H15) amp
12,AGAP001864,CYP4H15,del,+,cytochrome P450 [Source:VB Community Annotation],2R,11614187,11615787,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.01818181818181818,0.0,0.07692307692307693,0.010638297872340425,0.1111111111111111,0.2,7,AGAP001864 (CYP4H15) del
13,AGAP013305,CYP4H25,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,11617151,11618933,0.0136986301369863,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.125,0.0,0.010638297872340425,0.0,0.125,7,AGAP013305 (CYP4H25) amp
14,AGAP013305,CYP4H25,del,+,cytochrome P450 [Source:VB Community Annotation],2R,11617151,11618933,0.0821917808219178,0.11538461538461539,0.16666666666666666,0.10714285714285714,0.2727272727272727,0.0,0.045454545454545456,0.2,0.1,0.05555555555555555,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.07692307692307693,0.09574468085106383,0.2222222222222222,0.2727272727272727,7,AGAP013305 (CYP4H25) del
15,AGAP002195,CYP325F2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17478651,17482206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.010638297872340425,13,AGAP002195 (CYP325F2) amp
16,AGAP002202,CYP325E1,amp,+,cytochrome P450 [Source:VB Community Annotation],2R,17566544,17572300,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.1,20,AGAP002202 (CYP325E1) amp
17,AGAP002202,CYP325E1,del,+,cytochrome P450 [Source:VB Community Annotation],2R,17566544,17572300,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,20,AGAP002202 (CYP325E1) del
20,AGAP002204,CYP325D1,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17575015,17576743,0.684931506849315,0.5384615384615384,0.0,0.6785714285714286,0.8181818181818182,0.5714285714285714,0.13636363636363635,0.0,0.9,0.1111111111111111,0.47368421052631576,0.875,0.6216216216216216,0.08333333333333333,0.6,0.25,0.07692307692307693,0.6914893617021277,0.6666666666666666,0.9,7,AGAP002204 (CYP325D1) amp
21,AGAP002204,CYP325D1,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17575015,17576743,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.045454545454545456,0.4,0.0,0.05555555555555555,0.0,0.0,0.0,0.20833333333333334,0.03636363636363636,0.0,0.3076923076923077,0.0,0.0,0.4,7,AGAP002204 (CYP325D1) del
22,AGAP002205,CYP325C2,amp,-,cytochrome P450 [Source:VB Community Annotation],2R,17577423,17580952,0.3835616438356164,0.34615384615384615,0.0,0.2857142857142857,0.09090909090909091,0.14285714285714285,0.18181818181818182,0.0,0.1,0.1111111111111111,0.10526315789473684,0.125,0.16216216216216217,0.041666666666666664,0.09090909090909091,0.125,0.23076923076923078,0.13829787234042554,0.0,0.3835616438356164,13,AGAP002205 (CYP325C2) amp
23,AGAP002205,CYP325C2,del,-,cytochrome P450 [Source:VB Community Annotation],2R,17577423,17580952,0.0136986301369863,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05263157894736842,0.0,0.0,0.041666666666666664,0.01818181818181818,0.125,0.07692307692307693,0.02127659574468085,0.0,0.2,13,AGAP002205 (CYP325C2) del
